Дата и время,Причина
2022-07-01 01:13:00+00:00,Потный момент в игре
2022-07-01 13:22:00+00:00,Перед едой
2022-07-01 15:14:00+00:00,Потный момент в игре
2022-07-01 17:42:00+00:00,После еды
2022-07-01 18:56:00+00:00,Сдержался
2022-07-01 19:53:00+00:00,Радость
2022-07-01 20:29:00+00:00,Потный момент в игре
2022-07-02 02:09:00+00:00,Проснулся
2022-07-02 14:06:00+00:00,Позвали за компанию
2022-07-02 14:38:00+00:00,Ссора
2022-07-02 16:19:00+00:00,Потный момент в игре
2022-07-02 17:49:00+00:00,Посмотрел серию/фильм
2022-07-02 18:33:00+00:00,Подрочил
2022-07-02 22:09:00+00:00,Сдержался
2022-07-03 01:26:00+00:00,Перед едой
2022-07-03 11:11:00+00:00,Позвали за компанию
2022-07-03 12:44:00+00:00,После транспорта
2022-07-03 12:56:00+00:00,Подрочил
2022-07-03 14:14:00+00:00,Вышел на улицу
2022-07-03 16:42:00+00:00,Перед едой
2022-07-03 17:04:00+00:00,Проснулся
2022-07-03 17:37:00+00:00,Посмотрел серию/фильм
2022-07-03 20:03:00+00:00,Перед едой
2022-07-03 21:16:00+00:00,Проснулся
2022-07-03 22:32:00+00:00,Вышел на улицу
2022-07-03 23:31:00+00:00,После еды
2022-07-04 01:08:00+00:00,Подрочил
2022-07-04 01:26:00+00:00,Проснулся
2022-07-04 02:25:00+00:00,Проснулся
2022-07-04 13:53:00+00:00,Радость
2022-07-04 16:07:00+00:00,Сдержался
2022-07-04 16:08:00+00:00,Позвали за компанию
2022-07-04 17:17:00+00:00,Вышел на улицу
2022-07-04 17:43:00+00:00,Ссора
2022-07-04 17:53:00+00:00,Радость
2022-07-04 19:46:00+00:00,Проснулся
2022-07-04 21:15:00+00:00,Перед транспортом
2022-07-05 01:11:00+00:00,После еды
2022-07-05 02:34:00+00:00,Проснулся
2022-07-05 11:13:00+00:00,Перед едой
2022-07-05 15:00:00+00:00,Проснулся
2022-07-05 15:14:00+00:00,Перед едой
2022-07-05 16:22:00+00:00,После транспорта
2022-07-05 16:24:00+00:00,Посмотрел серию/фильм
2022-07-05 17:05:00+00:00,Ссора
2022-07-05 17:36:00+00:00,Вышел на улицу
2022-07-05 18:05:00+00:00,Перед транспортом
2022-07-05 19:09:00+00:00,Посмотрел серию/фильм
2022-07-05 20:00:00+00:00,Перед едой
2022-07-05 23:57:00+00:00,Перед транспортом
2022-07-06 00:55:00+00:00,Ссора
2022-07-06 02:12:00+00:00,Перед едой
2022-07-06 02:33:00+00:00,Позвали за компанию
2022-07-06 02:37:00+00:00,Проснулся
2022-07-06 11:43:00+00:00,Ссора
2022-07-06 12:34:00+00:00,Ссора
2022-07-06 12:44:00+00:00,Позвали за компанию
2022-07-06 14:55:00+00:00,Подрочил
2022-07-06 15:39:00+00:00,Подрочил
2022-07-06 15:46:00+00:00,Вышел на улицу
2022-07-06 17:42:00+00:00,Радость
2022-07-06 17:56:00+00:00,Позвали за компанию
2022-07-06 17:59:00+00:00,Радость
2022-07-06 18:25:00+00:00,После еды
2022-07-06 22:04:00+00:00,Перед транспортом
2022-07-07 00:05:00+00:00,Проснулся
2022-07-07 02:14:00+00:00,Радость
2022-07-07 12:08:00+00:00,Перед едой
2022-07-07 16:04:00+00:00,Перед транспортом
2022-07-07 16:17:00+00:00,Вышел на улицу
2022-07-07 17:45:00+00:00,После транспорта
2022-07-07 21:38:00+00:00,Перед едой
2022-07-07 21:46:00+00:00,После еды
2022-07-07 22:41:00+00:00,Позвали за компанию
2022-07-07 22:49:00+00:00,После транспорта
2022-07-07 23:51:00+00:00,Проснулся
2022-07-08 02:09:00+00:00,Позвали за компанию
2022-07-08 02:49:00+00:00,Перед транспортом
2022-07-08 02:50:00+00:00,Сдержался
2022-07-08 11:37:00+00:00,Перед транспортом
2022-07-08 11:41:00+00:00,Радость
2022-07-08 12:31:00+00:00,После транспорта
2022-07-08 18:48:00+00:00,Проснулся
2022-07-08 18:58:00+00:00,Радость
2022-07-08 20:12:00+00:00,Подрочил
2022-07-08 21:31:00+00:00,Потный момент в игре
2022-07-08 21:56:00+00:00,Радость
2022-07-09 12:17:00+00:00,Сдержался
2022-07-09 15:41:00+00:00,Позвали за компанию
2022-07-09 16:27:00+00:00,Перед транспортом
2022-07-09 18:39:00+00:00,Сдержался
2022-07-09 21:30:00+00:00,Перед едой
2022-07-09 22:01:00+00:00,Проснулся
2022-07-09 22:37:00+00:00,Проснулся
2022-07-10 00:08:00+00:00,Перед транспортом
2022-07-10 12:26:00+00:00,Радость
2022-07-10 13:52:00+00:00,Вышел на улицу
2022-07-10 14:07:00+00:00,После еды
2022-07-10 15:54:00+00:00,Радость
2022-07-10 16:06:00+00:00,Ссора
2022-07-10 17:51:00+00:00,Проснулся
2022-07-10 20:42:00+00:00,Вышел на улицу
2022-07-10 21:12:00+00:00,Подрочил
2022-07-10 22:36:00+00:00,Перед едой
2022-07-10 23:04:00+00:00,Перед транспортом
2022-07-10 23:19:00+00:00,Потный момент в игре
2022-07-11 00:35:00+00:00,Радость
2022-07-11 00:43:00+00:00,Перед едой
2022-07-11 12:40:00+00:00,Потный момент в игре
2022-07-11 13:05:00+00:00,Посмотрел серию/фильм
2022-07-11 15:52:00+00:00,Вышел на улицу
2022-07-11 19:50:00+00:00,Позвали за компанию
2022-07-12 00:07:00+00:00,Радость
2022-07-12 02:48:00+00:00,Радость
2022-07-12 12:14:00+00:00,Подрочил
2022-07-12 12:33:00+00:00,Подрочил
2022-07-12 14:08:00+00:00,После еды
2022-07-12 15:47:00+00:00,Ссора
2022-07-12 16:29:00+00:00,Радость
2022-07-12 16:45:00+00:00,Радость
2022-07-12 18:46:00+00:00,После транспорта
2022-07-12 19:36:00+00:00,Подрочил
2022-07-12 19:53:00+00:00,Потный момент в игре
2022-07-12 20:38:00+00:00,После транспорта
2022-07-12 21:16:00+00:00,Посмотрел серию/фильм
2022-07-12 21:52:00+00:00,Перед транспортом
2022-07-12 21:55:00+00:00,Потный момент в игре
2022-07-13 02:40:00+00:00,Ссора
2022-07-13 12:44:00+00:00,Подрочил
2022-07-13 15:59:00+00:00,Потный момент в игре
2022-07-13 17:01:00+00:00,Перед транспортом
2022-07-13 18:07:00+00:00,Позвали за компанию
2022-07-14 02:08:00+00:00,После транспорта
2022-07-14 02:36:00+00:00,Подрочил
2022-07-14 02:55:00+00:00,После транспорта
2022-07-14 13:05:00+00:00,Перед транспортом
2022-07-14 13:12:00+00:00,Перед едой
2022-07-14 14:08:00+00:00,После еды
2022-07-14 14:19:00+00:00,Сдержался
2022-07-14 16:21:00+00:00,Вышел на улицу
2022-07-14 16:50:00+00:00,Сдержался
2022-07-14 17:02:00+00:00,Вышел на улицу
2022-07-14 20:18:00+00:00,Ссора
2022-07-14 21:41:00+00:00,Перед транспортом
2022-07-15 00:22:00+00:00,Ссора
2022-07-15 01:39:00+00:00,Вышел на улицу
2022-07-15 11:06:00+00:00,Подрочил
2022-07-15 11:32:00+00:00,Посмотрел серию/фильм
2022-07-15 15:54:00+00:00,Позвали за компанию
2022-07-15 18:31:00+00:00,После еды
2022-07-15 18:32:00+00:00,Перед транспортом
2022-07-15 18:50:00+00:00,Вышел на улицу
2022-07-15 19:56:00+00:00,Проснулся
2022-07-15 22:52:00+00:00,Радость
2022-07-16 00:57:00+00:00,Перед едой
2022-07-16 02:17:00+00:00,Сдержался
2022-07-16 02:49:00+00:00,Ссора
2022-07-16 11:11:00+00:00,Ссора
2022-07-16 11:45:00+00:00,Проснулся
2022-07-16 12:03:00+00:00,Потный момент в игре
2022-07-16 14:29:00+00:00,Посмотрел серию/фильм
2022-07-16 15:05:00+00:00,После еды
2022-07-16 16:06:00+00:00,Сдержался
2022-07-16 17:49:00+00:00,Перед транспортом
2022-07-16 17:49:00+00:00,После транспорта
2022-07-16 19:06:00+00:00,Посмотрел серию/фильм
2022-07-16 19:11:00+00:00,Подрочил
2022-07-16 20:22:00+00:00,Ссора
2022-07-16 23:01:00+00:00,Ссора
2022-07-17 12:27:00+00:00,Вышел на улицу
2022-07-17 14:53:00+00:00,Радость
2022-07-17 19:15:00+00:00,Перед транспортом
2022-07-17 19:41:00+00:00,После транспорта
2022-07-17 21:55:00+00:00,Потный момент в игре
2022-07-18 11:03:00+00:00,После транспорта
2022-07-18 12:33:00+00:00,После транспорта
2022-07-18 12:47:00+00:00,Проснулся
2022-07-18 14:02:00+00:00,Потный момент в игре
2022-07-18 15:09:00+00:00,Потный момент в игре
2022-07-18 15:32:00+00:00,Сдержался
2022-07-18 15:49:00+00:00,После транспорта
2022-07-18 16:57:00+00:00,После транспорта
2022-07-18 17:29:00+00:00,Перед транспортом
2022-07-18 18:40:00+00:00,Потный момент в игре
2022-07-18 20:08:00+00:00,Посмотрел серию/фильм
2022-07-18 22:22:00+00:00,После еды
2022-07-19 00:29:00+00:00,Позвали за компанию
2022-07-19 00:32:00+00:00,Подрочил
2022-07-19 02:43:00+00:00,Вышел на улицу
2022-07-19 13:33:00+00:00,Радость
2022-07-19 13:53:00+00:00,Перед едой
2022-07-19 15:05:00+00:00,Ссора
2022-07-19 19:26:00+00:00,После транспорта
2022-07-19 21:45:00+00:00,Перед едой
2022-07-19 22:14:00+00:00,Потный момент в игре
2022-07-19 22:29:00+00:00,Посмотрел серию/фильм
2022-07-19 23:17:00+00:00,Вышел на улицу
2022-07-19 23:25:00+00:00,Позвали за компанию
2022-07-19 23:28:00+00:00,Сдержался
2022-07-19 23:36:00+00:00,Перед едой
2022-07-20 02:17:00+00:00,Перед едой
2022-07-20 02:32:00+00:00,Подрочил
2022-07-20 14:31:00+00:00,Радость
2022-07-20 17:33:00+00:00,Ссора
2022-07-20 19:13:00+00:00,Сдержался
2022-07-20 19:17:00+00:00,Сдержался
2022-07-20 20:02:00+00:00,Радость
2022-07-20 20:25:00+00:00,Перед едой
2022-07-20 22:42:00+00:00,Радость
2022-07-20 23:09:00+00:00,Перед едой
2022-07-20 23:42:00+00:00,После транспорта
2022-07-21 00:02:00+00:00,Позвали за компанию
2022-07-21 12:27:00+00:00,После транспорта
2022-07-21 12:45:00+00:00,Проснулся
2022-07-21 19:18:00+00:00,Перед едой
2022-07-21 23:07:00+00:00,Проснулся
2022-07-21 23:47:00+00:00,Ссора
2022-07-22 01:18:00+00:00,Проснулся
2022-07-22 01:31:00+00:00,Позвали за компанию
2022-07-22 02:42:00+00:00,Позвали за компанию
2022-07-22 14:38:00+00:00,После еды
2022-07-22 17:49:00+00:00,Позвали за компанию
2022-07-22 18:48:00+00:00,Радость
2022-07-22 20:57:00+00:00,Перед транспортом
2022-07-22 23:49:00+00:00,После транспорта
2022-07-23 02:00:00+00:00,Потный момент в игре
2022-07-23 02:54:00+00:00,Вышел на улицу
2022-07-23 11:20:00+00:00,Перед едой
2022-07-23 12:17:00+00:00,Ссора
2022-07-23 16:27:00+00:00,Проснулся
2022-07-23 20:02:00+00:00,Вышел на улицу
2022-07-24 01:12:00+00:00,Потный момент в игре
2022-07-24 02:49:00+00:00,Подрочил
2022-07-24 11:33:00+00:00,Ссора
2022-07-24 12:40:00+00:00,Позвали за компанию
2022-07-24 12:52:00+00:00,После транспорта
2022-07-24 13:10:00+00:00,Сдержался
2022-07-24 15:35:00+00:00,Перед транспортом
2022-07-24 15:51:00+00:00,Вышел на улицу
2022-07-24 17:18:00+00:00,Перед транспортом
2022-07-24 17:50:00+00:00,Радость
2022-07-24 22:58:00+00:00,Подрочил
2022-07-24 23:32:00+00:00,Посмотрел серию/фильм
2022-07-25 00:30:00+00:00,Потный момент в игре
2022-07-25 00:43:00+00:00,После транспорта
2022-07-25 01:20:00+00:00,Посмотрел серию/фильм
2022-07-25 11:41:00+00:00,Подрочил
2022-07-25 12:15:00+00:00,Перед транспортом
2022-07-25 13:04:00+00:00,Проснулся
2022-07-25 13:37:00+00:00,Перед едой
2022-07-25 15:14:00+00:00,Посмотрел серию/фильм
2022-07-25 16:32:00+00:00,Позвали за компанию
2022-07-25 17:05:00+00:00,Потный момент в игре
2022-07-25 19:12:00+00:00,Вышел на улицу
2022-07-25 19:15:00+00:00,Посмотрел серию/фильм
2022-07-25 20:13:00+00:00,Проснулся
2022-07-25 21:25:00+00:00,Вышел на улицу
2022-07-26 11:12:00+00:00,Перед едой
2022-07-26 11:39:00+00:00,Вышел на улицу
2022-07-26 12:49:00+00:00,Позвали за компанию
2022-07-26 15:20:00+00:00,После еды
2022-07-26 18:57:00+00:00,Проснулся
2022-07-26 19:40:00+00:00,После еды
2022-07-26 22:23:00+00:00,Радость
2022-07-27 11:41:00+00:00,Посмотрел серию/фильм
2022-07-27 16:54:00+00:00,Перед транспортом
2022-07-27 18:34:00+00:00,Перед транспортом
2022-07-27 19:12:00+00:00,После транспорта
2022-07-27 19:24:00+00:00,Посмотрел серию/фильм
2022-07-28 00:09:00+00:00,Потный момент в игре
2022-07-28 12:24:00+00:00,Вышел на улицу
2022-07-28 14:23:00+00:00,После еды
2022-07-28 14:41:00+00:00,Проснулся
2022-07-28 14:45:00+00:00,Посмотрел серию/фильм
2022-07-28 15:18:00+00:00,Позвали за компанию
2022-07-28 16:19:00+00:00,Подрочил
2022-07-28 17:32:00+00:00,Радость
2022-07-28 18:33:00+00:00,Посмотрел серию/фильм
2022-07-28 21:25:00+00:00,Радость
2022-07-28 22:57:00+00:00,Позвали за компанию
2022-07-28 23:47:00+00:00,Подрочил
2022-07-29 00:30:00+00:00,Вышел на улицу
2022-07-29 02:26:00+00:00,Потный момент в игре
2022-07-29 12:34:00+00:00,Посмотрел серию/фильм
2022-07-29 13:13:00+00:00,После еды
2022-07-29 14:26:00+00:00,Радость
2022-07-29 15:27:00+00:00,Перед транспортом
2022-07-29 16:36:00+00:00,Вышел на улицу
2022-07-29 17:43:00+00:00,Посмотрел серию/фильм
2022-07-29 18:46:00+00:00,Потный момент в игре
2022-07-29 19:19:00+00:00,Сдержался
2022-07-29 20:40:00+00:00,Потный момент в игре
2022-07-29 21:13:00+00:00,После транспорта
2022-07-30 00:53:00+00:00,Позвали за компанию
2022-07-30 11:18:00+00:00,После еды
2022-07-30 11:20:00+00:00,Потный момент в игре
2022-07-30 16:03:00+00:00,Радость
2022-07-30 17:44:00+00:00,Посмотрел серию/фильм
2022-07-30 18:03:00+00:00,Вышел на улицу
2022-07-30 22:13:00+00:00,Позвали за компанию
2022-07-30 22:39:00+00:00,Перед едой
2022-07-30 23:19:00+00:00,Вышел на улицу
2022-07-31 01:40:00+00:00,Ссора
2022-07-31 12:38:00+00:00,Позвали за компанию
2022-07-31 13:27:00+00:00,Потный момент в игре
2022-07-31 16:14:00+00:00,Проснулся
2022-07-31 16:31:00+00:00,Вышел на улицу
2022-07-31 16:40:00+00:00,Вышел на улицу
2022-07-31 16:52:00+00:00,Вышел на улицу
2022-07-31 18:31:00+00:00,Позвали за компанию
2022-07-31 18:48:00+00:00,После еды
2022-07-31 20:03:00+00:00,Сдержался
2022-07-31 20:26:00+00:00,Сдержался
2022-07-31 20:42:00+00:00,После еды
2022-07-31 21:50:00+00:00,Вышел на улицу
2022-07-31 22:06:00+00:00,Позвали за компанию
2022-07-31 22:11:00+00:00,Проснулся
2022-08-02 22:01:57+00:00,Вышел на улицу
2022-08-03 01:43:36+00:00,Сдержался
2022-08-03 20:26:22+00:00,Перекур во время работы
2022-08-06 17:01:02+00:00,Вышел на улицу
2022-08-06 18:33:16+00:00,Сдержался
2022-08-07 21:26:31+00:00,Сдержался
